Gender,PurchasedVIP,Income,Children,Age,Attractiveness,Matches
1,1,48673,0,37,4,100
0,0,40254,0,29,10,0
0,1,61070,0,40,10,70
1,1,48796,0,21,9,150
0,0,28273,2,40,8,0
0,0,58474,2,33,3,0
1,0,44646,1,40,9,150
0,1,49094,0,33,5,70
1,0,53319,0,18,3,90
0,1,51904,0,39,5,70
1,1,57094,0,42,10,160
1,0,45645,2,19,4,100
1,0,55131,0,47,8,140
0,1,47404,0,20,5,70
1,1,57388,0,43,10,160
0,1,56153,0,38,8,70
0,0,40645,1,42,9,0
0,1,60859,1,37,4,70
0,0,44640,0,34,7,0
1,1,58080,0,37,2,80
1,1,53672,0,39,6,120
0,0,68381,0,38,8,0
0,1,47765,0,47,7,70
1,0,46506,3,46,7,130
0,0,49805,1,18,8,0
1,1,46968,1,37,7,130
0,0,57999,1,23,5,0
0,0,33836,1,46,7,0
1,1,39463,1,32,10,160
0,0,39321,1,43,3,0
1,0,59503,2,43,5,110
0,0,67106,0,31,7,0
0,1,48955,1,37,9,70
0,0,48311,1,32,2,0
1,1,50700,2,31,4,100
0,1,61618,1,42,7,70
0,0,40726,1,38,1,0
0,0,52383,0,41,2,0
0,0,59751,1,42,9,0
1,1,55010,0,43,10,160
1,0,51895,0,22,7,130
0,0,60010,0,23,10,0
1,0,22967,1,34,7,130
0,0,56778,0,28,6,0
0,0,43459,0,33,3,0
0,1,31693,2,29,10,70
1,1,55112,0,32,3,90
1,0,63736,1,40,2,80
1,0,48625,1,21,6,120
1,0,59528,0,44,4,100
1,0,66122,2,35,5,110
1,1,63149,0,38,3,90
1,0,66399,1,45,6,120
1,1,57421,1,20,3,90
1,1,50754,1,39,8,140
0,0,33980,1,25,9,0
1,1,47539,0,40,4,100
1,1,41567,0,49,9,150
1,1,71709,2,20,7,130
1,1,48241,1,25,3,90
1,0,51232,2,35,7,130
1,0,55514,2,27,1,70
1,1,50436,2,42,3,90
1,0,66950,1,37,6,120
1,0,43773,0,34,4,100
1,0,51946,2,25,7,130
1,0,42575,1,40,3,90
0,0,36799,0,28,1,0
0,1,43882,2,46,9,70
1,0,49629,2,49,6,120
1,0,45706,1,22,8,140
0,0,43075,0,43,3,0
